movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,directors/1/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/2/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/3/peopleNm,companys/3/companyCd,companys/3/companyNm
20147968,선 오브 갓,Son Of God,2014,20140410,장편,개봉,미국,드라마,미국,드라마,크리스토퍼 스펜서,,,,,,,,,,,
20147176,상의원,The Royal Tailor,2014,20141224,장편,개봉,한국,"사극,드라마",한국,사극,이원석,,20100362,(주)영화사비단길,,20140592,상의원문화산업전문(유),,,,,
20123501,군도: 민란의 시대,KUNDO : Age of the Rampant,2013,20140723,장편,개봉,한국,"사극,액션",한국,사극,윤종빈,,20126515,(주)영화사 월광,,20100103,(주)쇼박스,,,,,
20134586,도희야,A Girl at My Door,2014,20140522,장편,개봉,한국,드라마,한국,드라마,정주리,,20100787,파인하우스필름(주),,20100248,나우필름(주),,,,,
20138226,우아한 거짓말,Thread of Lies,2013,20140313,장편,개봉,한국,드라마,한국,드라마,이한,,20100346,(주)유비유필름,,20139999,(주)무비락,,,,,
20148840,자유의 언덕,Hill of Freedom,2013,20140904,장편,개봉,한국,드라마,한국,드라마,홍상수,,20100332,(주)영화제작전원사 ,,,,,,,,
20130442,끝까지 간다,A Hard Day,2013,20140529,장편,개봉,한국,"액션,스릴러,범죄",한국,액션,김성훈,,20062097,(주)에이디사공육,,20100385,(주)다세포클럽,,,,,
20141001,거인,Set Me Free,2014,20141113,장편,개봉,한국,드라마,한국,드라마,김태용,,20140588,(주)메이킹에이프린트,,,,,,,,
20130574,개를 훔치는 완벽한 방법,How To Steal A Dog,2014,20141231,장편,개봉,한국,"드라마,가족",한국,드라마,김성호,,20100901,(주)삼거리픽쳐스,,,,,,,,
20147931,소녀괴담,Mourning Grave,2014,20140702,장편,개봉,한국,"미스터리,공포(호러)",한국,미스터리,오인천,,20123795,(주)고스트픽처스,,20100128,(주)주피터필름,,,,,
20147930,나의 사랑 나의 신부,"My Love, My Bride",2014,20141008,장편,개봉,한국,"멜로/로맨스,코미디",한국,멜로/로맨스,임찬상,,20137195,필름모멘텀,,,,,,,,
20149567,명탐정 코난 : 이차원의 저격수,Detective Conan : Dimensional Sniper,2014,20140806,장편,개봉,일본,"애니메이션,스릴러,어드벤처",일본,애니메이션,시즈노 코분,,,,,,,,,,,
20134122,한공주,HAN Gong-ju,2013,20140417,장편,개봉,한국,드라마,한국,드라마,이수진,,20126436,리 공동체 영화사,,,,,,,,
20147679,필로미나의 기적,Philomena,2013,20140416,장편,개봉,"영국,미국,프랑스",드라마,영국,드라마,스티븐 프리어스,,,,,,,,,,,
