movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,directors/4/peopleNm,directors/5/peopleNm
20161701,위켄즈,WEEKENDS,2016,20161222,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,이동하,20062413,한국게이인권운동단체 친구사이,20137935,반달,,,,,,,
20162545,"무현, 두 도시 이야기","Moo-hyun, Tale of Two Cities",2016,20161026,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,전인환,20161641,<무현. 두 도시 이야기> 제작위원회 ,20162241,엠앤씨에프,,,,,,,
20168361,바다 탐험대 옥토넛 시즌4: 늪지탐험선K,OCTONAUTS Season4,2016,20160928,장편,개봉,영국,애니메이션,영국,애니메이션,다라 오코넬,,,,,,,,,,,
20161561,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,OCTONAUTS Season4: GUP-S,2015,20160225,장편,개봉,영국,애니메이션,영국,애니메이션,다라 오코넬,,,,,,,,,,,
20163201,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,OCTONAUTS Season4,2016,20160602,장편,개봉,영국,"애니메이션,어드벤처",영국,애니메이션,다라 오코넬,,,,,,,,,,,
20161588,죽은 자의 제국,The Empire of Corpses,2015,20160225,장편,개봉,일본,"애니메이션,SF",일본,애니메이션,마키하라 료타로,,,,,,,,,,,
20166128,어떻게 헤어질까,How to Break up with My Cat,2016,20161103,장편,개봉,한국,"판타지,드라마",한국,판타지,조성규,20141039,하준사,,,,,,,,,
20154428,야근 대신 뜨개질,The Knitting Club,2016,20161117,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,박소현,20100631,(주)영화사 진진,,,,,,,,,
20145502,남과 여,A Man and A Woman,2015,20160225,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이윤기,20100068,(주)영화사봄,,,,,,,,,
20158742,울보,Stay with Me,2015,20160128,장편,개봉,한국,드라마,한국,드라마,이진우,20168788,영화사 소일,,,,,,,,,
20152541,무수단,MUSUDAN,2015,20160303,장편,개봉,한국,"미스터리,스릴러",한국,미스터리,구모,20123221,골든타이드픽처스(주),,,,,,,,,
20152370,잡아야 산다,Chasing ,2015,20160107,장편,개봉,한국,"코미디,액션",한국,코미디,오인천,20157390,더퀸디앤엠 주식회사,,,,,,,,,
20162025,씽,Sing,2016,20161221,장편,개봉,미국,"애니메이션,뮤지컬",미국,애니메이션,가스 제닝스,,,,,,,,,,,
20163824,미스 사이공 : 25주년 특별 공연,Miss Saigon : 25th Anniversary Performance ,2016,20161124,장편,개봉,미국,공연,미국,공연,브렛 설리반,,,,,,,,,,,
20162970,폭력의 법칙: 나쁜 피 두 번째 이야기,The Rule of Violence,2015,20161020,장편,개봉,한국,드라마,한국,드라마,강효진,20124615,(주)키노크러시,,,,,,,,,
20142706,시소,SEE-SAW,2016,20161110,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,고희영,20139236,(주)에스엠 컬처앤콘텐츠,,,,,,,,,
20151063,깡치,Kkangchi,2016,20160908,장편,개봉,한국,액션,한국,액션,연정모,20168688,제이메이드필름,,,,,,,,,
20165611,더 베일,Redistributors,2016,20161128,장편,개봉,영국,스릴러,영국,스릴러,아드리안 테너,,,,,,,,,,,
20158161,소꿉놀이,Welcome to Playhouse,2015,20160225,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김수빈,20123217,(주)시네마달,,,,,,,,,
20144641,판도라,Pandora,2016,20161207,장편,개봉,한국,"드라마,스릴러",한국,드라마,박정우,20130212,(주)씨에이씨엔터테인먼트,,,,,,,,,
20133071,브링 홈: 아버지의 땅,Bringing Tibet Home,2013,20160901,장편,개봉,"한국,미국",다큐멘터리,한국,다큐멘터리,텐진 체탄 초클리,20169588,(주)버디필름,,,,,,,,,
20167102,휴가,A WAY BACK TO MOTHER,2016,20161208,장편,개봉,한국,"가족,드라마",한국,가족,이수성,20063187,㈜리필름,,,,,,,,,
20163963,어린 아내,,2016,20161118,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,화니,20063099,(주)케이알씨지,,,,,,,,,
20160141,내 아내의 친구,,2016,20160908,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,엠씨짱,20063099,(주)케이알씨지,,,,,,,,,
20161790,바쿠만,Bakuman,2015,20160421,장편,개봉,일본,드라마,일본,드라마,오오네 히토시,,,,,,,,,,,
20153444,럭키,LUCK-KEY,2015,20161013,장편,개봉,한국,코미디,한국,코미디,이계벽,20137896,(주)용필름,,,,,,,,,
20162902,코리올라누스,Coriolanus,2013,20161110,장편,개봉,영국,공연,영국,공연,조시 루크,,,,,,,,,,,
20160871,야한이야기,,2016,20160929,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,김철수,20123221,골든타이드픽처스(주),,,,,,,,,
20152369,나홀로 휴가,A Break Alone,2015,20160922,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,조재현,20155312,(주)수현재엔터테인먼트,,,,,,,,,
20162568,신은 죽지 않았다 2,God's Not Dead 2,2016,20160407,장편,개봉,미국,드라마,미국,드라마,해롤드 크론크,,,,,,,,,,,
