movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm
20188141,가슴큰누나들-무삭제,,2018,20180720,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,김경택,20130184,스마일컨텐츠,,,,,,,
20173944,브림스톤,Brimstone,2016,20180719,장편,개봉,"네덜란드,프랑스,독일,벨기에,스웨덴,영국","미스터리,스릴러,서부극(웨스턴)",네덜란드,미스터리,마틴 쿨호벤,,,,,,,,,
20187425,며느리의 유혹,,2017,20180719,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,핫시이,,,,,,,,,
20184130,더 로저스,The Lodgers,2017,20180720,장편,개봉,아일랜드,"미스터리,스릴러",아일랜드,미스터리,브라이언 오맬리,,,,,,,,,
20187655,음란한 모델,,2018,20180719,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,노승택,20141403,(주)제이에이와이이엔터테인먼트,,,,,,,
20182269,삼국전쟁: 전쟁의 서막,Oriental Detective 2,2017,20180719,장편,개봉,중국,"액션,드라마",중국,액션,심화신,,,,,,,,,
20185927,당대명포-무림고수 대결전,Devil in Tang Dynasty 3,2018,20180719,장편,개봉,중국,"액션,스릴러",중국,액션,양동량,,,,,,,,,
20186463,원초적 비디오 테이프,Amateur,2016,20180718,장편,개봉,아르헨티나,스릴러,아르헨티나,스릴러,세바스티안 페릴로,,,,,,,,,
20172626,노맨스랜드,NOMANSLAND,2017,20180718,옴니버스,개봉,한국,"코미디,미스터리,공포(호러),뮤지컬",한국,코미디,박중하,20175682,영화사 유일무이,신지현,김상혁,지화자,,,,
20183929,글래디에이터: 바이킹과의 전쟁,A Viking Saga: The Darkest Day,2013,20180717,장편,개봉,영국,"액션,어드벤처,스릴러",영국,액션,크리스 크로우,,,,,,,,,
20187958,후난성 전투,The Founding Of An Army,2016,20180715,장편,개봉,중국,"전쟁,액션",중국,전쟁,유위강,,,,,,,,,
20187482,인투 더 샤크스톰 ,Sharknado 5,2017,20180714,장편,개봉,미국,"SF,액션",미국,SF,안소니 C. 페란트,,,,,,,,,
20187654,뱅크 잡: 리크루트,Ready 2 Die,2014,20180714,장편,개봉,미국,"액션,스릴러",미국,액션,,,,,,,,,,
20187384,좋아하지도 않으면서,YOU'RE NOT EVEN THAT INTO ME,2016,20180712,장편,개봉,일본,멜로/로맨스,일본,멜로/로맨스,요시다 코타,,,,,,,,,
20186070,거유 새댁의 불륜,,2017,20180711,장편,개봉,일본,,일본,,치바 다이스케,,,,,,,,,
20187541,착한 장모님들과의 정사(감독판),,2018,20180711,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,
20187475,젊은 처형: 그녀를 탐하다,,2018,20180711,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,
20187476,작은 엄마들,,2018,20180711,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,
20177475,사랑의 묘약,LELISIR DAMORE,2018,20180707,장편,개봉,미국,공연,미국,공연,,,,,,,,,,
20188803,요묘전: 레전드 오브 더 데몬 캣,Legend of the Demon Cat,2017,20180830,장편,개봉예정,중국,"미스터리,판타지,드라마",중국,미스터리,첸 카이거,,,,,,,,,
20185101,착한 장모,,2017,20180709,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이진명,20112175,(주)소나무픽쳐스,,,,,,,
20153446,너의 결혼식,On Your Wedding Day,2017,20180822,장편,개봉예정,한국,멜로/로맨스,한국,멜로/로맨스,이석근,20186561,(주)필름케이,,,,20100374,(주)외유내강,,
20187653,컨저링 하우스 ,VACANT HOUSE,2016,20180707,장편,개봉,미국,"공포(호러),스릴러",미국,공포(호러),,,,,,,,,,
20187652,아메리칸 사이코 2018 ,American Gothic,2017,20180707,장편,개봉,미국,"스릴러,드라마",미국,스릴러,스튜어트 코넬리,,,,,,,,,
20186563,배틀크릭,Battlecreek,2017,20180706,장편,개봉,미국,"드라마,멜로/로맨스",미국,드라마,앨리슨 이스트우드,,,,,,,,,
20187472,도그 파운드,Dog pound,2010,20180706,장편,개봉,프랑스,"범죄,스릴러,드라마",프랑스,범죄,킴 차피론,,,,,,,,,
20177537,상류사회,High Society,2018,20180829,장편,개봉예정,한국,드라마,한국,드라마,변혁,2016841,(주)하이브미디어코프,,,,,,,
20187647,나를 차버린 스파이,The Spy Who Dumped Me,2017,20180822,장편,개봉예정,미국,"액션,코미디",미국,액션,수잔나 포겔,,,,,,,,,
20180282,속닥속닥,The Whispering,2018,20180713,장편,개봉,한국,"공포(호러),미스터리",한국,공포(호러),최상훈,20188601,(주)파이브데이,,,,,,,
20185103,템프팅,Tempting Devils,2018,20180704,장편,개봉,프랑스,드라마,프랑스,드라마,장 클로드 브리소,,,,,,,,,
20187283,블러드 스크림,FOX TRAP,2016,20180704,장편,개봉,영국,스릴러,영국,스릴러,,,,,,,,,,
20170670,목격자,The Witness,2017,20180815,장편,개봉예정,한국,스릴러,한국,스릴러,조규장,20062097,(주)에이디사공육,,,,,,,
20177534,식구,The Soup,2018,20180712,장편,개봉,한국,드라마,한국,드라마,임영훈,20188581,동우하 팩토리,,,,,,,
20187960,논스톱: 다마스커스 타겟,Damascus Time,2018,20180802,장편,개봉,이란,"액션,전쟁",이란,액션,이브라힘 하타미키아,,,,,,,,,
20187424,친구 딸들의 맛(감독판),,2018,20180703,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,
20187386,착한 장모들(무삭제),,2018,20180703,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,
20187423,젊은 형수님: 내 여자가 되던 날,,2017,20180703,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,
20187422,사촌 여동생들: 금단의 사랑(무삭제),,2018,20180703,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,
20187385,내 엄마의 친구(무삭제),,2017,20180703,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이진명,20112175,(주)소나무픽쳐스,,,,,,,
20170301,더 보이스,The Voices,2015,20180829,장편,개봉예정,"미국,독일","코미디,범죄",미국,코미디,마르잔 사트라피,,,,,,,,,
20185046,서치,Searching,2017,20180829,장편,개봉예정,미국,드라마,미국,드라마,,,,,,,,,,
20174348,소성리,Soseongri,2017,20180816,장편,개봉예정,한국,다큐멘터리,한국,다큐멘터리,박배일,20126575,오지필름,,,,,,,
20187149,직격 유사성행위,Wallet-Friendly Hand Job Shop 2,2017,20180802,장편,개봉,일본,성인물(에로),일본,성인물(에로),와타나베 유키오,,,,,,,,,
20187470,주피터스 문,Jupiter's Moon,2017,20180802,장편,개봉,헝가리,"SF,판타지",헝가리,SF,코르넬 문드럭초,,,,,,,,,
20187152,일본 모텔도우미,Creampie Challenge throughout Japan,2017,20180802,장편,개봉,일본,성인물(에로),일본,성인물(에로),사카타 히로키,,,,,,,,,
20187150,유부녀 신체면접관,Job Interview of Housewife Sex Shop,2017,20180802,장편,개봉,일본,성인물(에로),일본,성인물(에로),모리 신이치,,,,,,,,,
20187151,욕실 마사지의 절정,Secret Behind Popularity of Body Spa for Men,2017,20180802,장편,개봉,일본,성인물(에로),일본,성인물(에로),사카타 히로키,,,,,,,,,
20185924,여교사 : 제자와의 사랑,,2018,20180802,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,최민,20161021,(주)영화사가을,,,,,,,
20187154,동창회 첫사랑과의 정사,Great Encounter at Alumni Reunion,2017,20180802,장편,개봉,일본,성인물(에로),일본,성인물(에로),모리 신이치,,,,,,,,,
20187153,동경대 미녀 가정교사,Famous University-Educated Tutor Loves Dirty Things,2017,20180802,장편,개봉,일본,성인물(에로),일본,성인물(에로),다카하시 미키오,,,,,,,,,
20179044,더 스퀘어,The Square,2017,20180802,장편,개봉,"스웨덴,독일,프랑스,덴마크",코미디,스웨덴,코미디,루벤 외스틀룬드,,,,,,,,,
20187155,눈앞에서 정사,Peeping Girls at Men's Masturbating Room,2017,20180802,장편,개봉,일본,성인물(에로),일본,성인물(에로),모리 신이치,,,,,,,,,
20181570,오장군의 발톱,Soldier's Mementos,2017,20180815,장편,개봉예정,한국,"전쟁,드라마,판타지",한국,전쟁,김재한,20137977,상남영화제작소,,,,,,,
20187649,죽음의 리무진,Glass Coffin,2016,20180816,장편,개봉예정,스페인,"스릴러,공포(호러)",스페인,스릴러,하리츠 쥬빌라가,,,,,,,,,
20186583,컨저링 마녀의 인형,Curse of the Witch's Doll,2018,20180816,장편,개봉예정,영국,"공포(호러),스릴러",영국,공포(호러),로렌스 파울러,,,,,,,,,
20176122,안시성,The Great Battle,2018,20180919,장편,개봉예정,한국,"사극,액션",한국,사극,김광식,20141515,(주)영화사수작,,,,20161781,(주)스튜디오앤뉴,20140888,주식회사 모티브랩
20186501,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,2018,20180801,장편,개봉,한국,애니메이션,한국,애니메이션,최신규,20141337,(주)초이락컨텐츠팩토리,김진철,,,,,,
20186202,신과함께-인과 연,Along with the Gods: The Last 49 Days,2017,20180801,장편,개봉,한국,"판타지,드라마",한국,판타지,김용화,20100540,리얼라이즈픽쳐스(주),,,,20160941,(주)덱스터스튜디오,,
20187309,호스틸 ,Hostile,2017,20180823,장편,개봉예정,프랑스,"미스터리,스릴러",프랑스,미스터리,,,,,,,,,,
20189022,이미그레이션 게임,Immigration Game,2017,20180823,장편,개봉예정,독일,"범죄,액션,스릴러",독일,범죄,크리스토프 즐라닉,,,,,,,,,
