movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,companys/1/companyCd,companys/1/companyNm,directors/1/peopleNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm,directors/2/peopleNm,directors/3/peopleNm
20174301,폭력의 씨앗,The Seeds of Violence,2017,20171102,장편,개봉,한국,드라마,한국,드라마,임태규,20125955,(주)타이거시네마,20158092,DGC,,20100904,(주)엠라인디스트리뷰션,,,,
20174645,미스 프레지던트,Mis-President,2017,20171026,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,김재환,20142068,주식회사 단유필름,,,,,,,,,
20151228,공조,Confidential Assignment,2016,20170118,장편,개봉,한국,액션,한국,액션,김성훈,20100278,(주)제이케이필름,20110854,씨제이이앤엠(주),,20130188,영화사 이창,20060055,(주)에이치비엔터테인먼트,,
20171164,"귀향, 끝나지 않은 이야기","Spirits' Homecoming, Unfinished Story",2017,20170914,장편,개봉,한국,"드라마,다큐멘터리",한국,드라마,조정래,20123223,주식회사 제이오엔터테인먼트코리아,,,,,,,,,
20174281,파란나비효과,Blue Butterfly Effect,2017,20170622,장편,개봉,한국,다큐멘터리,한국,다큐멘터리,박문칠,20174481,헤이앤컴퍼니,,,,,,,,,
20138561,모범생,Schoolgirl,2016,20171117,장편,개봉,한국,스릴러,한국,스릴러,노홍식,20112272,(주)파란프로덕션,20154728,주식회사 씨엠닉스,이영진,,,,,,
20174241,위 아 엑스,We Are X,2016,20170525,장편,개봉,영국,다큐멘터리,영국,다큐멘터리,스테판 키작,,,,,,,,,,,
20171862,부부 교환의 날 2017,,2016,20170821,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이진,20112175,(주)소나무픽쳐스,,,,,,,,,
20151227,아빠는 딸,"Daddy You, Daughter Me",2016,20170412,장편,개봉,한국,코미디,한국,코미디,김형협,20142433,영화사김치(주),,,,,,,,,
20170268,매혹당한 사람들,The Beguiled,2017,20170906,장편,개봉,미국,"스릴러,드라마",미국,스릴러,소피아 코폴라,,,,,,,,,,,
20173806,노 게임 노 라이프 -제로-,No Game No Life Zero,2017,20171019,장편,개봉,일본,애니메이션,일본,애니메이션,이시즈카 아츠코,,,,,,,,,,,
20179323,포크레인,EXCAVATOR,2017,20170727,장편,개봉,한국,드라마,한국,드라마,이주형,20100078,(주)김기덕 필름,,,,,,,,,
20178982,박열,Anarchist from Colony,2017,20170628,장편,개봉,한국,드라마,한국,드라마,이준익,20174921,(유)박열문화전문회사,,,,,,,,,
20156708,석조저택 살인사건,The Tooth and the Nail,2017,20170509,장편,개봉,한국,스릴러,한국,스릴러,정식,20168769,주식회사 영화사다,,,김휘,,,,,,
20161762,반드시 잡는다,The Chase,2017,20171129,장편,개봉,한국,스릴러,한국,스릴러,김홍선,20062097,(주)에이디사공육,20142551,씨네주 유한회사,,,,,,,
20150976,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2017,20171220,장편,개봉,한국,"판타지,드라마",한국,판타지,김용화,20100540,리얼라이즈픽쳐스(주),20160941,(주)덱스터스튜디오,,,,,,,
20179442,밤의 해변에서 혼자,On the Beach at Night Alone ,2016,20170323,장편,개봉,한국,드라마,한국,드라마,홍상수,20100332,(주)영화제작전원사 ,,,,,,,,,
20160522,아기와 나,Baby Beside Me,2016,20171123,장편,개봉,한국,드라마,한국,드라마,손태겸,20100572,한국영화아카데미,,,,,,,,,
20173476,다크 리플렉션,A Dark Reflection,2015,20171018,장편,개봉,영국,"드라마,스릴러",영국,드라마,트리스탄 로레인,,,,,,,,,,,
20170701,야공작,NIGHT PEACOCK,2015,20170601,장편,개봉,"중국,프랑스","멜로/로맨스,드라마",중국,멜로/로맨스,다이 시지에,,,,,,,,,,,
20170272,산상수훈,Sermon on the Mount,2017,20171207,장편,개봉,한국,드라마,한국,드라마,유영의,20157768,(주)그란,,,,,,,,,
20170442,련희와 연희,The Namesake,2017,20171214,장편,개봉,한국,드라마,한국,드라마,최종구,20186702,장풍E&M,,,손병조,,,,,,
20161681,미옥,A Special Lady,2017,20171109,장편,개봉,한국,"범죄,액션",한국,범죄,이안규,20186701,(주)영화사 소중한,,,,,,,,,
20172369,내 친구의 아내: 만져봐도 될까요?,,2017,20170828,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,강정훈,20112175,(주)소나무픽쳐스,,,,,,,,,
20172347,내 애인의 엄마: 내 여자가 되던 날,,2017,20170828,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이진,20112175,(주)소나무픽쳐스,,,,,,,,,
20175501,너에게만 들려주고 싶어,,2017,20170525,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,박병환,20175261,(주)도너츠컬처,,,,,,,,,
20179695,내 여자의 엄마,,2016,20170222,장편,개봉,한국,"멜로/로맨스,드라마",한국,멜로/로맨스,석영오,20112175,(주)소나무픽쳐스,,,,,,,,,
20166384,하루,A Day,2017,20170615,장편,개봉,한국,스릴러,한국,스릴러,조선호,20123375,(주)라인필름,,,,,,,,,
20176102,그 후,The Day After,2017,20170706,장편,개봉,한국,드라마,한국,드라마,홍상수,20100332,(주)영화제작전원사 ,,,,,,,,,
20178941,시인의 사랑,The Poet and The Boy,2017,20170914,장편,개봉,한국,드라마,한국,드라마,김양희,20175721,(주)영화사진,20126335,(주)미인픽쳐스,,,,,,,
20174967,빌리 진 킹: 세기의 대결,Battle Of The Sexes,2017,20171116,장편,개봉,"미국,영국",코미디,미국,코미디,발레리 페리스,,,,,조나단 데이턴,,,,,,
20175222,킹스맨: 골든 서클,Kingsman: The Golden Circle,2017,20170927,장편,개봉,"미국,영국","액션,어드벤처,코미디",미국,액션,매튜 본,,,,,,,,,,,
20177479,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,PriPara the Movie: Everyone's Longing Let's Go PriParis,2017,20171228,장편,개봉,일본,애니메이션,일본,애니메이션,모리와키 마코토,,,,,,,,,,,
20176367,극장판 숲의 요정 페어리루 ~크리스마스의 기적: 마법의 날개~,"""RILURILU FAIRILU"" MOVIE EDITION",2017,20171214,장편,개봉,일본,애니메이션,일본,애니메이션,고로 사쿠라,,,,,,,,,,,
20179583,사이코메트리,MONOCHROME,2016,20170802,장편,개봉,영국,"범죄,스릴러",영국,범죄,토마스 로우스,,,,,,,,,,,
20167645,맨체스터 바이 더 씨,Manchester by the Sea,2016,20170215,장편,개봉,미국,드라마,미국,드라마,케네스 로너건,,,,,,,,,,,
20174784,벤딩 디 아크: 세상을 바꾸는 힘,Bending the Arc,2017,20171109,장편,개봉,미국,다큐멘터리,미국,다큐멘터리,키프 데이비슨,,,,,페드로 코스,,,,,,
20175023,두 개의 사랑,L'amant double,2017,20171228,장편,개봉,프랑스,스릴러,프랑스,스릴러,프랑수아 오종,,,,,,,,,,,
20175962,스테이션 7,Salyut-7 ,2017,20171207,장편,개봉,러시아,"액션,드라마",러시아,액션,클림 시펜코,,,,,,,,,,,
20176947,원더,Wonder,2017,20171227,장편,개봉,미국,드라마,미국,드라마,스티븐 크보스키,,,,,,,,,,,
