movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm,directors/0/peopleNm,companys/0/companyCd,companys/0/companyNm,directors/1/peopleNm,directors/2/peopleNm,directors/3/peopleNm,companys/1/companyCd,companys/1/companyNm,companys/2/companyCd,companys/2/companyNm,companys/3/companyCd,companys/3/companyNm
20156736,가름워즈: 마지막 예언자,Garm Wars: The Last Druid,2014,20151203,장편,개봉,"일본,캐나다","액션,SF,스릴러",일본,액션,오시이 마모루,,,,,,,,,,,
20156441,최강전사 미니특공대 : 새로운 악당의 습격,Mini Force : Justice Defender,2014,20150205,장편,개봉,한국,애니메이션,한국,애니메이션,이영준,20000384,(주)삼지애니메이션,,,,,,,,,
20130566,무뢰한,The Shameless,2014,20150527,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,오승욱,20122737,(주)사나이픽처스,,,,,,,,,
20153982,에이미,AMY,2015,20151105,장편,개봉,영국,다큐멘터리,영국,다큐멘터리,아시프 카파디아,,,,,,,,,,,
20149266,차이나타운,Coin Locker Girl,2014,20150429,장편,개봉,한국,"범죄,드라마",한국,범죄,한준희,20061932,폴룩스픽쳐스(주),,,,,,,,,
20155874,미라클 벨리에,La Famille Belier,2014,20150827,장편,개봉,프랑스,드라마,프랑스,드라마,에릭 라티고,,,,,,,,,,,
20154484,라스트 탱고,Our Last Tango,2015,20151231,장편,개봉,"독일,아르헨티나",다큐멘터리,독일,다큐멘터리,게르만 크랄,,,,,,,,,,,
20143572,뷰티 인사이드,The Beauty Inside,2015,20150820,장편,개봉,한국,"판타지,멜로/로맨스",한국,판타지,백,20137896,(주)용필름,,,,,,,,,
20154562,스타드 업,Starred Up,2013,20151119,장편,개봉,영국,"드라마,스릴러",영국,드라마,데이빗 맥킨지,,,,,,,,,,,
20150604,애인,,2015,20150617,장편,개봉,한국,멜로/로맨스,한국,멜로/로맨스,이숭환,20063099,(주)케이알씨지,,,,,,,,,
20144442,조선마술사,The Magician,2015,20151230,장편,개봉,한국,드라마,한국,드라마,김대승,20110933,위더스필름(주),,,,,,,,,
